Tweet,Value
"@lopezobrador_ MI PRESIDENTE.
#VOYMORENA2018",1
"@lopezobrador_ No cuentes conmigo, estaré con Elenita y las juchitecas empanzonándonos von cerveza, pero les deseo suerte.",-1
@lopezobrador_ Es honor seguirlo @lopezobrador_,1
@lopezobrador_ ¡Arriba PEJE!.... Vamos por la PRESIDENCIA... a ver que sale... https://t.co/jsCra4gEBB,1
@lopezobrador_ #AMLO2018.. PRESIDENTE..,1
@lopezobrador_ Pongase a trabajar viejito chocho,-1
@lopezobrador_ No dodo que sea muy bonito. Pero ¿TÚ QUE CHINGADA MADRE SABES DE CULTURA SI NI HABAR BIEN EL ESPAÑOL PUEDES? Eres un pendejo. Y tu secretaria de turismo se dormía en juntas.,-1
@lopezobrador_ Vamos con el Mejor ALCALDE DEL MUNDO y por su Gran HONESTIDAD Y CALIDAD MORAL.. Por eso.. #MiVotoParaAMLO,1
"@lopezobrador_ Bonito lugar, lástima que a los #CentaverosDelPRIAN solo le interese las cantinas de malamuerte. En otro tema, Elenita mencionó ""panzonas e inmensas"" y los cobardes PRIANistas ladraron ""panzonas y mensas"", así de  bestias. #FelizFinde a tod@s.",0
"@lopezobrador_ @JohnMAckerman Hay Ackerman, según tu muy legal. Ves esta en campaña eterna tu mesías. que se espera de alguien que funda su propio partido, se autodelara presidente y próximamente candidato",-1
@lopezobrador_ y cual es la novedad?,0
"@lopezobrador_ Peje que si eres lagarto, que mentiroso eres, ya la je te no te cree",-1
"@lopezobrador_ No entiendo por qué, el que no está con AMLO, lo tratan de clasista y que odia uno a @lopezobrador_ ... El que no coincida con él no me hace peor persona. 
Y tengo una duda...de dónde saca el recurso económico para hacer sus viajes este señor?",-1
@lopezobrador_  https://t.co/UI5VxcwHgO,0
"@lopezobrador_ Dirán misa pero AMLO el mejor candidato y no lo digo yo, lo dicen  encuestas, redes sociales y medios internacionales  ....pese a quien le pese....Es el mejor.....",1
"@lopezobrador_ Don Andrés Manuel, invíteme formar parte de  su cuerpo de colaboradores , sin contraprestación alguna , tengo amplia experiencia en algunas materias , y puedo aportarle ideas y proyectos  objetivos.",1
@lopezobrador_ Sus dizque intelectuales son kk. Los demás de mugrena son albañiles,-1
@lopezobrador_ sólo quiere títeres q voten por él y  los olvidará si consigue lo que quiere. Ese demente SÓLO USA a la gente y la desecha.,-1
@lopezobrador_ Andrés excelente Pero déjame  darte un consejo   Reúne Empresarios por regiones ejemplo de Oaxaca Guerrero y Chiapas p q propongan su plan  Reúne empresarios d Sonora Chihuahua Coahuila Tamaulipas p q t propongan su plan y así sucesivamente   Regiones diferentes planes acordes,0
"@lopezobrador_ Surrealista es que la gente idiota piense que AMLO es un cambio, cuando fue un porro q se afilia al Pri cuando había una persecución vs todo aquel q se manifestara vs el sistema.
Hay que ser cortito muy cortito para apoyar a PRIMOR.🐖🐷🐽",-1
@lopezobrador_ Con todo AMLO . CONFIA EN DIOS NUESTRO REDENTOR.,1
@lopezobrador_ De oquis,0
"@lopezobrador_ El Auditorio cobra, cuáles son los orígenes de los recursos con los cuales pagarás la renta +  Sonido + propaganda + logística?? De donde?",0
@lopezobrador_ Espero q no sean profesionales que se tardaron 14 años en graduarse así como Ud... xq entonces si ya nos cargo el payaso,-1
@lopezobrador_ Felicidades!!!!!👏🏻👏🏻👏🏻👏🏻,1
@lopezobrador_ Chachalaca vete  a tu ranchito que te regalo aquel súper Nico con su sueldo de chofer algunos nos acordamos de lo rata que es,-1
"@lopezobrador_ AMLOVIVIDOR que vida de rey, se da este guevon estira la mano recibe $$$$ y se la pasa viajando. Que puede cambiar un hombre que es y se rodea de puro delincuente NADA.",-1
@lopezobrador_ La política y el poder para el bien social,1
@lopezobrador_ Después de 18 años en campaña presidencial y al día de hoy aún no tienes nada en concreto...,-1
"@lopezobrador_ Pinche @lopezobrador_ ya se cree Modelo de Televisa posando y enseñando las maravillas del País, como si eso no costara dinero y quien paga?",-1
"@lopezobrador_ Pinche viejito loco y payaso, anda posando y tomándose fotos y videos por país a cuenta de quien, quien paga el avión, traslados, etc...",-1
"@lopezobrador_ Turisteando, pero ¿quién está cuidando nuestro ""petrolio""?",-1
@lopezobrador_ Le vas a echar la culpa a los rusos?,0
@lopezobrador_ Q hueva da ver este contenido puras agresiones,1
@lopezobrador_ Mejor ponte a ayudar a los damnificados hijo de tu puta madre,-1
@lopezobrador_  En lugar de andar de huevon.  No deberías  ayudar a los damnificados del sismo?  Hocicon.,-1
@lopezobrador_ @SLP_Estado Aca en la husteca no queremos culeros con todo respeto vaya y chingue a su puta madre pinche viejo nalgas miadas😎,-1
"@lopezobrador_ Jajajajaja y siguen los boots a todo lo que dan, con su estrategia de hacer molestar a los simpatizantes de AMLO 2018,  Jajajajaja",1
@lopezobrador_ Surrealista mmm surrealista y mmm surrealista... jaja,0
@lopezobrador_ Gracias por presentar nuestra cultura,1
@lopezobrador_ En este plan contemplan evitar la corrupción entre sus colaboradores?,-1
@lopezobrador_ Cuántos meses y cuáles intelectuales? Elenita? Batres? Fdez Noroña?... EQUIPAZO¡!! https://t.co/ROyaFm7gA0,-1
"@lopezobrador_ Jajaja, para qué? Si siempre se hace lo que dice tu dedito!!!  Y con tus ideas tipo economía Venezuela no necesitan pensar mucho, con prometer basta....ch PG locuaz.",-1
"@lopezobrador_ Cuanto te has paseado a cuenta de los estúpidos contribuyentes, mendigo parásito inservible. Y cuanto te has de reír d todo el baboso q creé en ti. Paro hay un carma,lo q te llevará a perder una vez más en 2018.",-1
"@lopezobrador_.Esperamos un plan libre de proteccionismo que irradie honestidad, progreso y seguridad, tal como lo hizo de Jefe de Gobierno",1
@lopezobrador_ Se queda corta la descripción! Hay que estar ahí!,1
"@lopezobrador_ DE NADA SERVIRA, SI SON LOS MISMOS EMPRESARIOS Y POLITICOS CORRUPTOS QUE HAN LLEVADO A MEXICO, EN DONDE ESTA.",-1
@lopezobrador_ Y la mafia es usted o cómo? Esta encuesta lo pone bien en todo!,-1
"@lopezobrador_ Eso es interesante. Si hay una propuesta y se concentran en presentar un plan viable, medible y verificable. Quizá esta vez los resultados sean diferente a 2006 y 2012",1
"@lopezobrador_ me parece muy bien, que bueno que sea así, si no prospera mi demanda la INE, le puedo hechar la mano, bueno si es que asi lo desea y si me puede mandar un correo le estare comunicando sobre de ellas",1
@lopezobrador_ Hermosa la Huasteca Potosína! También Tamuin y una cascada de Tamul!,1
"@lopezobrador_  #EnVivo en Axtla, San Luis Potosí - https://t.co/tyBfphwNSi https://t.co/srDtSrfZlj",0
"@lopezobrador_ Deja de robar al pueblo, peje",-1
@lopezobrador_ @diazpol ¿ya está listo el plan para implantar la revolucion bolivariana en México? No hablan de otra cosa los #chairos https://t.co/VgZcMm67Uj,0
@lopezobrador_ Ay guey yo pense que desde hace 3 sexenios!,-1
@lopezobrador_ Habla más rápido hijo de tu puta madre!!! Que hueva me das,-1
"@lopezobrador_ Ya también quieres quedartelo, eres un fraude peje",-1
"@lopezobrador_ Qué bueno que te sigas paseando,mientras el pueblo tiene hambre y necesidad de sobrevivir,porque no apoyas para que no haya más pobreza y des lo que gastas a la gente que tiene hambre,asi vas a estar si ganas la presidencia?",-1
"@lopezobrador_ asambleas informativas en Axtla, San  Luis Potosí - https://t.co/xQ2ci3n7Vl https://t.co/xCMxCy7FyN",0
@lopezobrador_ me vales verga,-1
@lopezobrador_ Denles una torta y un frutsi a los pendejabots y ae van jajajaja ws lo que quieren,0
"@lopezobrador_ El rey del oportunismo, el vividor más grande de México, el demagogo y populista más engañador.",-1
@lopezobrador_ Mexico es hermoso. No lo destruyas con tus ideas radicales,-1
@lopezobrador_ Será entrada libre?? Dónde se puede registrar uno?,1
@lopezobrador_ Ve a Xochimico! Mejor @ParisHilton dono su dinero y tiempo mientras tu te haces pendejo sin regresar el NUESTRO  paseandote!,-1
@lopezobrador_ @delfinagomeza @mario_delgado1 @JoseCardenas1 @JACrespo1 al pendejo de #PonchoRomo @yeidckol @RicardoMonrealA @gdehoyoswalther @ConJRdeLaFuente @jpcastanon @DeniseDresserG @fernandeznorona @AristeguiOnline @ChumelTorres @PumasMX @ClubAmerica @atlasfc @Chivas https://t.co/KPQ2THz74p,0
"@lopezobrador_ Peje desde un inicio eras mi gallo, pero después te me volviste bien pinche loco y ahí me aparté. Ahora volteando a ver a los demás no hallo ni a cuál irle; deja de prometer cosas imposibles y pon los pies sobre la tierra, obtendrás mi voto y muchos más.",1
"@lopezobrador_ Surrealista=morena 
Surrealista=campaña presidencia 
Surrealista=mundo ad hoc  para Obrador!",-1
@lopezobrador_ muy bien señor andres ahunk les duela usted si merece la presidencia,1
@lopezobrador_ Y cómo para cuándo un acuerdo en EdoMex con el PT? porque tus dirigentes acá te van a hacer perder la presidencia.,0
@lopezobrador_ Señor la comunidad gitana  de mexico con usted,1
"@lopezobrador_ Ya lo veremos presidente, para que corrija todo este lodazal de gobierno que tenemos corra a todos esos opresores políticos expertos en tener al país en crisis disfrazadas de prosperidad",1
@lopezobrador_ a mi cabron lengua corta me causa extrañeza de dpnde sacas dinero para tanto,-1
@lopezobrador_ Es importante saber de el,1
@lopezobrador_ Jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja,1
@lopezobrador_ Abrazo fuerte hasta México. Sería buenísimo que se apoye más la ciencia y la cultura durante su administración. Saludos y buen fin de semana.,1
@lopezobrador_ Mantenganos la belleza de nuestros país y ya saquemos al PRIAN porque se lo devoraron estos corruptos!,1
"@lopezobrador_ Esas vacaciones están padres. Yo estoy creeando una empresa para viajar, pero creo que mejor hago un partido político.",-1
@lopezobrador_ #MORENAELPARTIDODELAGENTEBUENA,1
@lopezobrador_ Valdría la pena saber quiénes son los 200 profesionales.,-1
@lopezobrador_ Si. La huasteca y los potosinos te damos la bienvenida!! Gracias por compartir tu tiempo con este pueblo.,1
"@lopezobrador_ Y quien te paga los viajes,el pueblo verdad y te quejas",-1
"@lopezobrador_ ""
#aqui en nuestro pais,todo es surrealista con este ""gobierno"" de puros ratas.",1
@lopezobrador_ Y seguro vas a decir que es tu idea o si no estas de acuerdo es la mafia del poder. No mames loquito,-1
@lopezobrador_ Y no me invitó!,1
"@lopezobrador_ me gustaría saber qué opinión tiene de Alfredo Jalife..? Lo pregunto porque creo con todo lo que sabe sería un muy buen aliado para sacar adelante a nuestro país, del hoyo donde lo ha metido los politiquillos que ni siquiera saben cuál es su función.",1
@lopezobrador_ Y el morena? Que experiencia tiene? La del dueño del partido? Porque no nos dice de que vive y como paga las avionetas?,-1
@lopezobrador_ Y si no están con el futuro PRESIDENTE que hacen aqui.,1
"@lopezobrador_ El capitalino. No hay más ciego que el no quiere ver. Pero los pejistas son como los pendejos cómo? Los perros abren los ojos a los 7 días, los pendejos NUNCA.",1
"@lopezobrador_ Por que se enojan piojos prianistas de torta y frutsi. 
Por que no se meten a compartir de corrupcion, de los millones del extranjero como ayuda por el cismo. 
Quien los agarro. ? 
No hablan por que tienen la voca ocupada comiendo torta. Eso puede Ser.",1
@lopezobrador_ Jajajaja,1
"@lopezobrador_ y exilio a todos los vende patrias, traicioneros de la nación y que perjudican al pueblo con extrociones,secuestros",1
"@lopezobrador_ Auespiciado por la Fundación Pedro y Elena Hernández, a cuyo hijo usted ataca. Reconozca que habla sin fundamentos!",-1
@lopezobrador_ Exelente.,1
@lopezobrador_ Hermoso lugar!! Faltó mostrar las pozas!,1
@lopezobrador_ @felix_ofelia Y dónde leíste eso @lopezobrador_ o ya recibes moche de la Secretaría de turismo ?,-1
@lopezobrador_ Hasta modelo y intelectual salió!,-1
@lopezobrador_ Bienvenido siempre a nuestra Huasteca Potosina!!!,1
"@lopezobrador_ Ya me imagino el galimatías que vas a presentar, Hugo Maduro Castro, perdón Lopez",-1
"@lopezobrador_ : Estuvimos en el jardín escultórico surrealista de Xilitla, es uno de los espacios de arte,... https://t.co/qvBi7u9EeV",1
@g_quadri Yo creo que más bien es ignorancia,0
@g_quadri @ygnaciogu El #PRI es tu respuesta,-1
@g_quadri Que publicación tan x,-1
"@g_quadri La General Motors, Ford y demás son las que ENSAMBLAN coches en México y son los que exportan. No es México, son las armadoras. Sé puntual.",-1
@g_quadri ¿Y que favor le hace a la democracia el partido que has representado? Cínico,-1
"@g_quadri No puedo con lo superficial de tu comentario, habría que revisar el cobro de tenencia, en qué se usa, la calidad de las vialidades, etc.",-1
@g_quadri @arnemx Ya todos se cuelgan el moño ajeno de luchadores Anticorrupción,-1
@g_quadri Ensambla*,-1
@g_quadri @luisalbertolpz  ya vez y tú que acabas de plaquearlo,-1
"@g_quadri No, pero se entiende. La posición abusiva y recaudatoria del gob; de esta CDMX contra los automovilistas genera una pintada de violin !",1
@g_quadri Entonces como twittea uno acerca de Rindfleischetikettierungsueberwachungsaufgabenuebertragungsgesetz y de Niederflurfoerderfahrzeugfuehrer?,0
"@g_quadri Deja de estar de ocioso cabron,  que hay tanto que hacer y enterarse en nuestro país y tu más siendo político,  como solo esperas cada quincena tu pago de nuestros impuestos,  pues te vale madre y te la pasas aquí cabron...",-1
@g_quadri Pinche mariguano.,-1
"@g_quadri Son ensamblajes de bajo valor agregado con pocos encadenamientos productivos locales. No generan aprendizaje industrial. No hay innovación ni la formación de industria interna. Estará bien cuando haya industria propia, con marcas propias, con desarrollo interno y nacional",1
@g_quadri Doble de autos= doble polución ... no era usted que hace 5 tweets alardeaba de sus posiciones “ecologistas” ??,-1
@g_quadri ¿contamos contigo?,1
@g_quadri México paga a los obreros que arman carros la misma miseria hoy que en 2007.,-1
@g_quadri Igual que los que según manejan combi pero llegan hasta con guaruras,-1
@g_quadri  https://t.co/fRXdLGSiyP,0
@g_quadri Con 280 caracteres queda así JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJANAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJSJS,1
@g_quadri  https://t.co/Og4Dq3DLZA,0
"@g_quadri Estás más pendejo que Peña.... y eso, son ligas mayores.",-1
@g_quadri Cobras demasiado,-1
"@g_quadri Tantos automóviles nos van a matar un día, ¡qué alguien piense en los niños!",-1
"@g_quadri Sr Gabriel, comparar a Andrés Manuel con Pol Pot, es la prueba fehaciente de que usted padece de sus facultades mentales.  Lo siento.",-1
@g_quadri  https://t.co/fvnkGlanhd,0
"@g_quadri Pero viva la soberanía Venezolana, viva la lucha por América Latina, viva la necedad y la demagogia.",-1
@g_quadri Muy bueno... pero seria aun mejor si nuestro mercado interno tambien tenga ese dinamismo.,1
"@g_quadri @g_quadri  no sé si es ignorancia, fanatismo o ceguera de tu parte ¿No ves el boicot, acaparamiento, sanciones y demás trabas económicas que pone la derecha interna y externa?",-1
"@g_quadri para que ir tan lejos debemos comenzar con Gamboa Patron aterrizó helicóptero oficial en zona protegida , no seas Combi",-1
"@g_quadri Oye Quadri ya parale a tu mame, mejor coordina el asesinato político del peje y de meade No? Y llévate a @ManceraMiguelMX de pilón.",-1
"@g_quadri Andate a China a comenzar las gestiones, y desde allá twiteas. ¡Corre!",-1
"@g_quadri Neta te gusta Incubus ? 😂😂😂, tome mi voto!",1
@g_quadri Mejor morir ...ke vivir de rodillas .. es fácil hablar con el estómago lleno caballero Quadri,-1
@g_quadri Y tu que los quieres de socios,-1
"@g_quadri Pero sin una ley que exige seguridad básica llámese frenos abs, sistema de estabilidad, etc. (El último salva más vidas que las bolsas de aire)",-1
@g_quadri ¿Que propone?,0
@g_quadri y el doble de ganancia? o se produce más a costa de explotar gente y pagar mal? #PreguntaSeria,0
"@g_quadri ¿Sólo petróleo? mira nada más, que útil. Y pensar que aquí @FelipeCalderon  y @EPN  lo entregaron a manos privadas.",-1
"@g_quadri Industria automotriz beneficiada por el TLC, Sería igual si se saliera Mex. del TLC?",0
@g_quadri En donde aproximadamente el 80% o más de las piezas son extranjeras y el resto son comprados en México.... Lo único que hacen es darle valor agregado por el ensamblaje y todo por un salario poco arriba del mínimo....,0
"@g_quadri Logro de Calderon? O lo comparte con EPN?

Los japoneses ayudaron mucho al hacer que los 3 de Detroit casi quebraran",-1
@g_quadri Y pensar que algunos quieren convertir a los estados en soviets.,-1
"@g_quadri estoy  deacuerdo,, son autos de lujo (BMW, Audi, Mercedes etc.), los que mas tienen son los que mas exigen y menos pagan",1
"@g_quadri Pensé que ibas a decir que muy mal porque se producen en ""provincia"", haciendo pobres a trillones de tlaxcaltecas.",-1
"@g_quadri Así es @g_quadri  ya hace tiempo, pero se parecen a un cuate que simulaba manejar una combi ...  https://t.co/aDzvU2SgKs   ¿ sanción social ?  Saludos.",-1
"@g_quadri Es un comentario falso y a modo
 Como de los políticos de Siempre",-1
"@g_quadri Jajaja y eso te preocupa, x eso México está como esta",-1
@g_quadri No ! Poblarían Mexico esos cabrones !! Son muy corruptibles Con nuestro sistema tan deseoso de hacerse rico pronto ! Tendremos una invasión !!,-1
"@g_quadri @arnemx Cuál es el problema o corrupción si Morelos lo permite ?, yo también lo haría para no pagar más impuestos que se clavan los politicos",-1
@g_quadri A ver . cuál es esa planta? Que hace?,-1
"@g_quadri Se corre el rriesgo de una inundación de mercancia china en el país mega baratos y de mala calidad. Me da tristeza ver ""artesanías"" mexicanas made in china. No se vale!",1
"@g_quadri Eeeeh! Que tienen en contra de las ciudades del interior???? Eso de que nos vean como ""provincia"" ya chole!",-1
@g_quadri Yo digo: SANCIÓN.,1
"@g_quadri Tanto te quejas de todo y tú, al apoyar a corruptos como Del Mazo te conviertes en un corrupto más!",-1
"@g_quadri La vaquita tierna vs paradise papers !!! Quién ha ganado,",0
"@g_quadri Eres un engaña bobos, que te crea el que no sabe de tu paso por las dependencias medioambientalesl, de tus corruptelas, fascista.",-1
"@g_quadri Apoyo tu idea de diversificar socios comerciales, pero no coincido contigo en la parte de China, creo que no debemos ponernos a merced de otra super potencia, habiendo tantos posibles socios porqu  casarse con uno?.",1
@g_quadri Claro lo dice señor Etica que viaja en auto blindado y llega en combi,-1
"@g_quadri ""Corrupción social"",que manera tan burda de querer deslindarse la clase politica...pateticos.",-1
"@g_quadri la energía atómica no es tan ""limpia"" como pensamos. ¡Inmensa la cantidad de agua necesaria para enfriar los reactores! Acaba siendo un tiro por la culata. 

https://t.co/CNz2mpG84x",-1
"@g_quadri Economía Sur-Sur, le dicen. Latinoamérica tiene balanza comercial favorable con China que la vez está en los BRICS. No entiendo porque nos aferramos a EUA.",1
@g_quadri @maveruko 😂🤣😂🤣😂🤣😂,1
"@g_quadri Pues si eres un empresario hijo de puta, claro que te conviene la mano de obra barata de China, para luego traer productos de quinta y venderlos como de primera. Al fin, chínguense los productores mexicanos. No solo tienes cara, eres un pendejo.",-1
@g_quadri Existen más países para socializar. En China está dura la corrupción y suiza es un país que nos ayudaría mucho,-1
@g_quadri Jaja sin duda este tuit entra en tu Top 5.,1
@g_quadri @gfdelb ¿Tú tienes mucha vergüenza? Jajajajajajaja,-1
@g_quadri Miles y de segmentos socioeconómicos altos y educados (en teoría).,0
"@g_quadri @arnemx Hay dos,TODOS pagan un porcentaje del costo del auto o TODOS pagan la misma cantidad de impuesto,de otra forma es injusto.Problema resuelto!",1
"@g_quadri Mira el gobierno no sabe ya como chingarnos más dinero, por que mejor no vociferas que las fotomultas a donde va a parar ese dinero?? Lo de la verificación 2 veces al año ?? No seas absurdo",-1
@g_quadri ya no existe un distrito federal. los poderes de la unión pueden cambiar de sede sin ningún problema,0
"@g_quadri @ChapoRomo Y así sera todo el 2018 😂 a tirarle, que miedo le tienen Jajajaja",0
@g_quadri Buenisimo!! Que asi sea!!,1
"@g_quadri @INEMexico Mexicanos en todo somos CÓMPLICES; somos CÓMPLICES al emitir nuestro VOTO, votamos por DELINCUENTES, CRIMINALES, ASESINOS, CORRUPTOS, ESTAFADORES, EXTORSIONADORES disfrazados de candidatos @lacronicadehoy @diario24horas @Arena_Publica @SinEmbargoMX",-1
"@g_quadri Claro! Hay que buscar socios más tranzas, mala paga y que exploten niños! Tu sí que eres inteligente!",1
"@g_quadri El Instituto de Geografia habia propuesto esa descentralizacion en 1985, quiza haya que actualizar la propuesta pero no es una locura, señor.",1
@g_quadri Usted ocupe sus 140 caracteres y no el doble. Para que no se ande quejando.,-1
@g_quadri Deacuerdo contigo. Hay mucho mas mundo q estados unidos,1
